date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:31	69760/69760	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2013:52:23%20GMT	https://www.flent.in/reserve	C:/My%20Web%20Sites/flent-reserve/www.flent.in/reserve.html	(from )
22:42:31	7981/7981	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22daa6405cbe959f744abf89d144603831%22	https://www.flent.in/robots.txt		(from )
22:42:32	326149/326149	---M-Z	200	added ('OK')	text/css	etag:%22b2a5301ae9ca70bbee35c3951e8aed87%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/css/flent.webflow.79fc90e66.min.css	C:/My%20Web%20Sites/flent-reserve/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/css/flent.webflow.79fc90e66.min.css	(from https://www.flent.in/reserve)
22:42:32	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/flent-reserve/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.flent.in/reserve)
22:42:32	622/622	---M--	200	added ('OK')	image/jpeg	etag:%22cdd994625a7d7c6f5b3231347ebf6fbb%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c987597662dabd2bccc_fav32.jpg	C:/My%20Web%20Sites/flent-reserve/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c987597662dabd2bccc_fav32.jpg	(from https://www.flent.in/reserve)
22:42:32	4841/4841	---M--	200	added ('OK')	image/jpeg	etag:%2270d37d6a9f17005c3e42eeb441f3d788%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c9b3fa34dea8ec79d50_fav256.jpg	C:/My%20Web%20Sites/flent-reserve/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c9b3fa34dea8ec79d50_fav256.jpg	(from https://www.flent.in/reserve)
22:42:32	248207/248207	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2019%20Mar%202025%2017:12:32%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/flent-reserve/connect.facebook.net/en_US/fbevents.js	(from https://www.flent.in/reserve)
22:42:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2019%20Mar%202025%2017:12:32%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/flent-reserve/www.googletagmanager.com/gtm.65445.delayed	(from https://www.flent.in/reserve)
22:42:34	2048/2048	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2019%20Mar%202025%2017:12:33%20GMT	http://js.hs-scripts.com/45469632.js	C:/My%20Web%20Sites/flent-reserve/js.hs-scripts.com/45469632.js	(from https://www.flent.in/reserve)
22:42:34	5367/5367	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214f7-yhyA+HX2eUDGKOb3fk0GExBzMpM%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-numbercount@1/numbercount.js	C:/My%20Web%20Sites/flent-reserve/cdn.jsdelivr.net/npm/@finsweet/attributes-numbercount@1/numbercount.js	(from https://www.flent.in/reserve)
22:42:34	7231/7231	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c3f-9v0QvQHPHAvSNX54eEdOl+deM7o%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-accordion@1/accordion.js	C:/My%20Web%20Sites/flent-reserve/cdn.jsdelivr.net/npm/@finsweet/attributes-accordion@1/accordion.js	(from https://www.flent.in/reserve)
22:42:34	9461/9461	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224f5-UwbGQu810u+oOZfeoeQFlS8Ufrc%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-scrolldisable@1/scrolldisable.js	C:/My%20Web%20Sites/flent-reserve/cdn.jsdelivr.net/npm/@finsweet/attributes-scrolldisable@1/scrolldisable.js	(from https://www.flent.in/reserve)
22:42:34	18453/18453	---MCZ	200	added ('OK')	text/css	etag:W/%224815-JKiTwld7EUp2nOh8l//b/koDfi0%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/My%20Web%20Sites/flent-reserve/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://www.flent.in/reserve)
22:42:35	430307/430307	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2013:31:02%20GMT	https://www.flent.in/properties	C:/My%20Web%20Sites/flent-reserve/www.flent.in/properties.html	(from https://www.flent.in/reserve)
22:42:35	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:12:35%20GMT	https://www.flent.in/	C:/My%20Web%20Sites/flent-reserve/www.flent.in/index.html	(from https://www.flent.in/reserve)
22:42:35	69274/69274	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2014:19:11%20GMT	https://www.flent.in/owners	C:/My%20Web%20Sites/flent-reserve/www.flent.in/owners.html	(from https://www.flent.in/reserve)
22:42:35	69001/69001	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2014:19:03%20GMT	https://www.flent.in/about-us	C:/My%20Web%20Sites/flent-reserve/www.flent.in/about-us.html	(from https://www.flent.in/reserve)
22:42:36	71520/71520	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-6d5e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	C:/My%20Web%20Sites/flent-reserve/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	(from https://www.flent.in/reserve)
22:42:36	42667/42667	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-442b%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	C:/My%20Web%20Sites/flent-reserve/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	(from https://www.flent.in/reserve)
22:42:37	34435/34435	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2016:51:19%20GMT	https://www.flent.in/contact-us	C:/My%20Web%20Sites/flent-reserve/www.flent.in/contact-us.html	(from https://www.flent.in/reserve)
22:42:37	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:12:37%20GMT	https://www.flent.in/refund-policy	C:/My%20Web%20Sites/flent-reserve/www.flent.in/refund-policy.12.delayed	(from https://www.flent.in/reserve)
22:42:38	42739/42739	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2015:27:08%20GMT	https://www.flent.in/privacy-policy	C:/My%20Web%20Sites/flent-reserve/www.flent.in/privacy-policy.html	(from https://www.flent.in/reserve)
22:42:38	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2017:12:38%20GMT	https://www.flent.in/terms-of-use	C:/My%20Web%20Sites/flent-reserve/www.flent.in/terms-of-use	(from https://www.flent.in/reserve)
22:42:38	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6593ed11d5ad65d107dfe76c	C:/My%20Web%20Sites/flent-reserve/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8e7eb.js	(from https://www.flent.in/reserve)
22:42:39	42405/42405	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b1b946db6cdd4c39d251f93e6ebc13ec%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/js/webflow.schunk.90690657670f5b00.js	C:/My%20Web%20Sites/flent-reserve/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/js/webflow.schunk.90690657670f5b00.js	(from https://www.flent.in/reserve)
22:42:39	201655/201655	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a1c21a19a5212f58720038fa93088fe0%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/js/webflow.schunk.334cac7f25fa2316.js	C:/My%20Web%20Sites/flent-reserve/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/js/webflow.schunk.334cac7f25fa2316.js	(from https://www.flent.in/reserve)
22:42:39	10713/10713	---MCZ	200	added ('OK')	text/javascript	etag:W/%226cab36c79e8031003897ce533968461b%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/js/webflow.6d556086.1772f45377e1f5e7.js	C:/My%20Web%20Sites/flent-reserve/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/js/webflow.6d556086.1772f45377e1f5e7.js	(from https://www.flent.in/reserve)
22:42:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Mar%202025%2017:12:39%20GMT	http://embed.typeform.com/next/embed.js	C:/My%20Web%20Sites/flent-reserve/embed.typeform.com/next/embed.19.delayed	(from https://www.flent.in/reserve)
22:42:41	62790/62790	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220793df041acc2951a7e24748d57c98f6%22	https://embed.typeform.com/next/embed.js	C:/My%20Web%20Sites/flent-reserve/embed.typeform.com/next/embed.js	(from https://www.flent.in/reserve)
22:42:41	153610/153610	---MCZ	200	added ('OK')	application/javascript	etag:W/%222580a-OcT3y9cJSJFZETN8otKT7rIexRk%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	C:/My%20Web%20Sites/flent-reserve/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	(from https://www.flent.in/reserve)
